933  84.102541666 -6.378138888 P
936  84.074416666 -6.374472222 P
940  84.081208333 -6.37225 P
943  84.076958333 -6.370388888 P
944  84.08125 -6.370083333 P
945  84.078458333 -6.3695 P
1005 83.433 -6.229527777 P
1008 83.842416666 -6.218388888 P
1019 84.071916666 -6.186388888 P
1027 83.966666666 -6.167166666 P
1042 84.00025 -6.120611111 P
1046 83.888375 -6.102666666 P
1078 84.126125 -6.0215 P
1081 84.135208333 -6.021166666 P
1093 83.7875 -5.974333333 P
1100 83.805875 -5.966138888 P
1121 83.785833333 -5.93175 P
1128 83.852333333 -5.925944444 P
1130 84.079875 -5.925083333 P
1135 83.753375 -5.923805555 P
1136 84.07925 -5.92375 P
1162 83.779916666 -5.868305555 P
1165 83.772875 -5.865111111 P
1170 83.858291666 -5.856361111 P
1177 83.377958333 -5.844722222 P
1191 83.752208333 -5.817222222 P
1203 83.569 -5.794027777 P
1220 83.847791666 -5.768361111 P
1238 83.695583333 -5.747472222 P
1246 83.844291666 -5.741527777 P
1283 84.0905 -5.699472222 P
1285 83.697041666 -5.698861111 P
1286 83.781541666 -5.698583333 P
1294 83.704333333 -5.695055555 P
1297 83.683583333 -5.690527777 P
1313 83.532791666 -5.677916666 P
1316 83.821875 -5.674138888 P
1325 83.647708333 -5.666416666 P
1355 83.840291666 -5.63275 P
1361 83.610125 -5.627916666 P
1369 83.22625 -5.620777777 P
1371 83.769666666 -5.620083333 P
1400 83.7855 -5.599833333 P
1402 83.177041666 -5.598722222 P
1406 83.622666666 -5.595194444 P
1407 83.771 -5.594638888 P
1415 83.768791666 -5.587333333 P
1416 83.764125 -5.587305555 P
1421 83.794083333 -5.585083333 P
1431 84.101875 -5.580833333 P
1433 83.210625 -5.578472222 P
1434 83.200541666 -5.578138888 P
1453 83.932625 -5.561444444 P
1454 83.776875 -5.55975 P
1472 83.831916666 -5.550388888 P
1474 83.441125 -5.549472222 P
1479 83.777333333 -5.547666666 P
1503 83.703666666 -5.529416666 P
1504 83.670458333 -5.529 P
1512 84.091541666 -5.520611111 P
1513 84.16725 -5.5205 P
1573 83.818 -5.492388888 P
1609 83.825333333 -5.473555555 P
1640 83.813333333 -5.460416666 P
1662 83.690083333 -5.448611111 P
1718 83.830708333 -5.428361111 P
1739 83.757083333 -5.420138888 P
1743 83.849916666 -5.419416666 P
1760 83.520208333 -5.412638888 P
1766 83.797083333 -5.410638888 P
1771 83.8005 -5.409388888 P
1775 83.807666666 -5.40725 P
1783 83.793916666 -5.404583333 P
1789 83.750916666 -5.402527777 P
1800 83.75875 -5.399111111 P
1807 83.809916666 -5.397472222 P
1808 83.829333333 -5.397138888 P
1820 83.807416666 -5.394444444 P
1831 83.489083333 -5.391777777 P
1834 83.805833333 -5.391444444 P
1839 83.58625 -5.389805555 P
1847 83.792708333 -5.387638888 P
1848 83.82775 -5.38725 P
1858 84.01875 -5.384861111 P
1882 83.77775 -5.378944444 P
1895 83.767291666 -5.375555555 P
1913 83.807458333 -5.366638888 P
1953 83.88625 -5.354972222 P
1968 83.812208333 -5.350166666 P
1969 83.799333333 -5.350083333 P
1971 83.824333333 -5.348305555 P
1983 83.483375 -5.344638888 P
2017 83.806666666 -5.331916666 P
2031 83.789875 -5.328527777 P
2037 83.814125 -5.326222222 P
2044 83.836291666 -5.323972222 P
2047 83.728166666 -5.321805555 P
2050 83.798375 -5.320111111 P
2059 83.790916666 -5.316138888 P
2060 83.842083333 -5.316027777 P
2069 83.819541666 -5.312555555 P
2073 83.800083333 -5.311333333 P
2091 83.821208333 -5.303861111 P
